Latitude,Longitude,Wildfire,NDVI,Avg_Temp,Avg_humid,Avg_wind,Total_precip
59.6732,-111.2017,1,3169,4.210434783,91.68092547,2.995543382,322.4759927
59.4973,-112.1368,1,4462,4.229565217,91.56682767,2.982198721,293.4599936
59.467,-112.2937,1,4060,5.069130435,91.62571895,2.995481848,281.2699932
59.4631,-112.3135,1,3762,5.251304348,91.62571895,2.995481848,281.2699932
59.4593,-112.3333,1,3040,4.883478261,91.62571895,2.995481848,281.2699932
59.2981,-113.1447,1,4217,5.707777778,91.30724944,2.911435415,310.6529928
59.7059,-111.0778,1,2763,5.039130435,91.70585489,2.995543382,327.7599922
59.7025,-111.0964,1,2864,5.234888889,91.70585489,2.995543382,327.7599922
59.6787,-111.2269,1,3092,2.29,91.70873696,2.995543382,317.1529913
59.4374,-112.4993,1,4112,5.621304348,91.70099499,2.964357312,276.2989931
59.3075,-113.152,1,3560,4.313043478,91.30724944,2.911435415,310.6529928
58.7217,-115.8616,1,3933,5.854444444,92.13085093,2.614371429,498.6229885
59.7148,-111.0842,1,2961,5.254888889,91.70585489,2.995543382,327.7599922
59.6944,-111.196,1,3907,3.236521739,91.68092547,2.995543382,322.4759927
59.691,-111.2147,1,3019,2.987826087,91.70873696,2.995543382,317.1529913
59.6875,-111.2334,1,3447,1.775217391,91.70873696,2.995543382,317.1529913
59.4814,-112.3274,1,3516,4.619565217,91.55249307,2.995481848,282.8619926
59.419,-112.647,1,3990,4.814782609,91.67045473,2.964357312,276.5879939
59.415,-112.6672,1,3436,4.413043478,91.65632349,2.964357312,276.5879939
59.0696,-114.3489,1,2074,4.653043478,92.17715362,2.972100147,372.0389911
59.7236,-111.0906,1,3242,5.153111111,91.70585489,2.995543382,327.7599922
59.7033,-111.2025,1,2667,3.25173913,91.68092547,2.995543382,322.4759927
59.5358,-112.0989,1,4501,4.720434783,91.54419788,2.990573787,298.0939928
59.5321,-112.1184,1,4517,5.266956522,91.56682767,2.990573787,293.4599936
59.5171,-112.1965,1,3804,3.906956522,91.56682767,2.990573787,293.4599936
59.4867,-112.3542,1,4166,4.702608696,91.55249307,2.995481848,282.8619926
59.4282,-112.6541,1,3987,5.440434783,91.65632349,2.964357312,276.5879939
59.0794,-114.3565,1,1462,4.684347826,92.26795119,2.972100147,392.9609903
59.5374,-112.1048,1,3990,5.136521739,91.54419788,2.990573787,298.0939928
59.4915,-112.3399,1,3861,4.641304348,91.55249307,2.995481848,282.8619926
59.4876,-112.3596,1,4166,4.702608696,91.55249307,2.995481848,282.8619926
59.4443,-112.5785,1,4153,5.309565217,91.67045473,2.964357312,276.5879939
59.4283,-112.6589,1,3977,5.168695652,91.65632349,2.964357312,276.5879939
59.0739,-114.3569,1,2223,4.684347826,92.26795119,2.972100147,392.9609903
59.7365,-111.1046,1,2792,5.157826087,91.70585489,2.995543382,327.7599922
59.7159,-111.2162,1,2856,4.064782609,91.70873696,2.995543382,317.1529913
59.7125,-111.2348,1,2045,3.442608696,91.70873696,2.995543382,317.1529913
59.4535,-112.5856,1,3724,5.304347826,91.67045473,2.964357312,276.5879939
59.4495,-112.6056,1,4342,5.322608696,91.67045473,2.964357312,276.5879939
59.4375,-112.666,1,3967,5.146521739,91.65632349,2.964357312,276.5879939
59.7248,-111.2226,1,3104,4.070434783,91.70873696,2.995543382,317.1529913
59.7214,-111.2413,1,2478,2.170869565,91.70873696,2.995543382,317.1529913
59.5556,-112.1184,1,3433,5.054347826,91.56682767,2.990573787,293.4599936
59.5518,-112.1379,1,4348,5.469130435,91.56682767,2.990573787,293.4599936
59.4825,-112.4928,1,3980,5.817391304,91.59757397,2.995481848,273.6719937
59.4667,-112.5727,1,4967,5.570434783,91.67045473,2.964357312,276.5879939
59.4627,-112.5927,1,4191,5.378695652,91.67045473,2.964357312,276.5879939
59.4587,-112.6128,1,3738,5.250434783,91.67045473,2.964357312,276.5879939
59.3307,-113.2474,1,1959,3.355333333,91.26956479,2.911435415,345.7239915
59.1083,-114.3042,1,1411,5.337826087,92.17715362,2.972100147,372.0389911
59.0884,-114.3959,1,2938,3.424222222,92.26795119,2.972100147,392.9609903
59.7337,-111.2291,1,3110,2.317391304,91.70873696,2.995543382,317.1529913
59.5759,-112.0669,1,4651,4.942173913,91.46900361,2.990573787,301.9319918
59.5684,-112.1058,1,3310,4.616086957,91.46900361,2.990573787,301.9319918
59.5647,-112.1253,1,3695,4.964347826,91.46715568,2.990573787,292.5659931
59.4719,-112.5998,1,4368,5.242173913,91.64533948,2.964357312,274.2819938
59.4679,-112.6199,1,3617,5.213478261,91.67045473,2.964357312,276.5879939
59.464,-112.64,1,4102,4.983333333,91.67045473,2.964357312,276.5879939
59.1228,-114.2895,1,2494,5.133913043,92.17939713,2.972100147,354.0719932
59.118,-114.312,1,1459,5.286086957,92.17939713,2.972100147,354.0719932
59.5887,-112.0542,1,3959,4.57,91.46900361,2.990573787,301.9319918
59.585,-112.0737,1,4589,5.021304348,91.46900361,2.990573787,301.9319918
59.5813,-112.0932,1,3620,5.084347826,91.46900361,2.990573787,301.9319918
59.5775,-112.1127,1,3570,4.848695652,91.46715568,2.990573787,292.5659931
59.5737,-112.1322,1,3632,4.426521739,91.46715568,2.990573787,292.5659931
59.4771,-112.627,1,4560,5.284347826,91.64533948,2.964357312,274.2819938
59.1325,-114.2975,1,1042,4.92173913,92.17939713,2.972100147,354.0719932
59.1277,-114.3199,1,2833,4.840434783,92.17939713,2.972100147,354.0719932
59.1129,-114.3887,1,2476,5.263333333,92.21953534,2.972100147,340.5039906
59.1078,-114.412,1,5040,4.824666667,92.26795119,2.972100147,392.9609903
59.0978,-114.4586,1,2977,5.728666667,92.38189042,2.972100147,392.9609903
59.0928,-114.4815,1,2674,5.229111111,92.38189042,2.972100147,392.9609903
59.083,-114.5266,1,3507,4.799565217,92.38189042,3.130558504,392.9609903
59.5978,-112.0611,1,3460,4.978695652,91.46900361,2.990573787,301.9319918
59.5941,-112.0806,1,3350,4.946521739,91.46900361,2.990573787,301.9319918
59.5903,-112.1,1,3706,4.854782609,91.46900361,2.990573787,301.9319918
59.5866,-112.1195,1,3227,4.951304348,91.46715568,2.990573787,292.5659931
59.4903,-112.614,1,4302,4.524782609,91.64533948,2.964357312,274.2819938
59.4863,-112.6341,1,4254,5.005652174,91.64533948,2.964357312,274.2819938
59.4824,-112.6542,1,3845,5.93826087,91.61451607,2.964357312,274.2819938
59.4784,-112.6744,1,3912,6.109130435,91.61451607,2.964357312,274.2819938
59.1422,-114.3055,1,1272,5.11,92.17939713,2.972100147,354.0719932
59.1374,-114.328,1,3763,5.054347826,92.17939713,2.972100147,354.0719932
59.1075,-114.4666,1,973,5.430888889,92.38189042,2.972100147,392.9609903
59.0928,-114.5346,1,2914,4.819565217,92.38189042,3.130558504,392.9609903
